# Vitis BLAS gemv golden -- alpha/beta overload, yr = alpha*(M x) + beta*y
# IEEE-754 bit patterns
# columns: ab_index logParEntries case row yr_bits
# n_cases M N n_ab
4 7 128 6
1 4 1 0 3234841037
1 4 1 1 3322851474
1 4 1 2 3181803351
1 4 1 3 1131987242
1 4 1 4 1045742087
1 4 1 5 959819094
1 4 1 6 3351407278
1 4 2 0 1330820655
1 4 2 1 3438352423
1 4 2 2 1311224078
1 4 2 3 1311708435
1 4 2 4 1309619057
1 4 2 5 3464023857
1 4 2 6 3450378528
1 4 3 0 2967278589
1 4 3 1 2960118315
1 4 3 2 816144138
1 4 3 3 2945080379
1 4 3 4 2961706599
1 4 3 5 2966242761
1 4 3 6 805451921
2 4 0 0 1118511098
2 4 0 1 1119377453
2 4 0 2 1119052897
2 4 0 3 1118891611
2 4 0 4 1118510834
2 4 0 5 1118365558
2 4 0 6 1118246057
2 4 1 0 1250045165
2 4 1 1 1249822425
2 4 1 2 3409652466
2 4 1 3 3402860867
2 4 1 4 1258867693
2 4 1 5 1260836154
2 4 1 6 1244993032
2 4 2 0 3483240611
2 4 2 1 1295307289
2 4 2 2 3464202645
2 4 2 3 3464712142
2 4 2 4 3461795114
2 4 2 5 1320852325
2 4 2 6 1308419504
2 4 3 0 1266133580
2 4 3 1 3429748358
2 4 3 2 3429351068
2 4 3 3 1278254846
2 4 3 4 3414211093
2 4 3 5 1265708750
2 4 3 6 1269974626
3 4 0 0 1079776229
3 4 0 1 1081022368
3 4 0 2 1081245573
3 4 0 3 1081162640
3 4 0 4 1079995854
3 4 0 5 1080035929
3 4 0 6 1080723352
3 4 1 0 1210490706
3 4 1 1 1210046651
3 4 1 2 3371143971
3 4 1 3 3364312805
3 4 1 4 1219434883
3 4 1 5 1221954512
3 4 1 6 1201786070
3 4 2 0 1316805279
3 4 2 1 3423643673
3 4 2 2 1296644830
3 4 2 3 1297226059
3 4 2 4 1294718805
3 4 2 5 3449112862
3 4 2 6 3435811162
3 4 3 0 1226735992
3 4 3 1 3390583362
3 4 3 2 3390329096
3 4 3 3 1239552816
3 4 3 4 3374630202
3 4 3 5 1226464101
3 4 3 6 1231302946
4 4 0 0 1250522992
4 4 0 1 1263493838
4 4 0 2 1280651423
4 4 0 3 1282696390
4 4 0 4 1267827208
4 4 0 5 1275190126
4 4 0 6 1286280641
4 4 1 0 3457862274
4 4 1 1 3545538512
4 4 1 2 3405254094
4 4 1 3 1354323498
4 4 1 4 1268679770
4 4 1 5 1183276094
4 4 1 6 3574651404
4 4 2 0 1553792527
4 4 2 1 3660816665
4 4 2 2 1534714183
4 4 2 3 1535275597
4 4 2 4 1532322515
4 4 2 5 3686359198
4 4 2 6 3673897751
4 4 3 0 3183769535
4 4 3 1 3198965623
4 4 3 2 3187359438
4 4 3 3 1042538418
4 4 3 4 3190454978
4 4 3 5 3182454110
4 4 3 6 1041250498
5 4 0 0 3269324954
5 4 0 1 3270382136
5 4 0 2 3269638678
5 4 0 3 3269366823
5 4 0 4 3269213867
5 4 0 5 3268911209
5 4 0 6 3268332747
5 4 1 0 3400088243
5 4 1 1 3399956647
5 4 1 2 1265848685
5 4 1 3 1258915138
5 4 1 4 3409040869
5 4 1 5 3411599871
5 4 1 6 3397866288
5 4 2 0 1355554942
5 4 2 1 3463024485
5 4 2 2 1336046470
5 4 2 3 1336515690
5 4 2 4 1334491605
5 4 2 5 3488680119
5 4 2 6 3475199063
5 4 3 0 3416324990
5 4 3 1 1285198603
5 4 3 2 1284940364
5 4 3 3 3429211005
5 4 3 4 1269258318
5 4 3 5 3416048850
5 4 3 6 3420963302
